1. Display the information in one table (either table is fine).
sqlite> SELECT * FROM teachers;
id          name
----------  --------------------
1           Professor McGonagall
2           Professor Snape
3           Professor Moriarty

2. Update an item that meets some condition (you can choose a condition that makes sense).
sqlite> UPDATE students SET grade=10 WHERE name="Tom Bombadil";
sqlite>

3. Display the information in both tables using one query.
sqlite> SELECT * FROM students, teachers;
id          name         grade       permission_slip  teacher_id  id          name
----------  -----------  ----------  ---------------  ----------  ----------  --------------------
1           Amelia Pond  11          false            2           1           Professor McGonagall
1           Amelia Pond  11          false            2           2           Professor Snape
1           Amelia Pond  11          false            2           3           Professor Moriarty
2           Tom Bombadi  10          true             1           1           Professor McGonagall
2           Tom Bombadi  10          true             1           2           Professor Snape
2           Tom Bombadi  10          true             1           3           Professor Moriarty
3           Dead Pool    10          false            3           1           Professor McGonagall
3           Dead Pool    10          false            3           2           Professor Snape
3           Dead Pool    10          false            3           3           Professor Moriarty
4           Mal Reynold  12          true             2           1           Professor McGonagall
4           Mal Reynold  12          true             2           2           Professor Snape
4           Mal Reynold  12          true             2           3           Professor Moriarty
5           Arya Stark   8           true             3           1           Professor McGonagall
5           Arya Stark   8           true             3           2           Professor Snape
5           Arya Stark   8           true             3           3           Professor Moriarty
6           Jake Finn    9           true             1           1           Professor McGonagall
6           Jake Finn    9           true             1           2           Professor Snape
6           Jake Finn    9           true             1           3           Professor Moriarty

4. Display a narrower selection of columns (fewer columns than all of them, in other words) from both tables using one query.


5. Delete an item that meets some condition (you can choose a condition that makes sense).


